Rank,Threshold,Accuracy,Sensitivity (Recall),Specificity,Precision,F1 Score,False Positive Rate,TP,TN,FP,FN,AUC,Model,Type,Latency_mean_ms,Latency_std_ms,Latency_total_ms
1,52.144849,1.0,1.0,1.0,1.0,1.0,0.0,35,120,0,0,1.0,mobilenet_v3,Image Only,11.4752,7.9004,1778.6573
2,29.164523,0.9935483870967742,1.0,0.9916666666666667,0.9722222222222222,0.9859154929577465,0.008333333333333333,35,119,1,0,0.9997619047619047,resnet34,Image Only,8.4273,1.2218,1306.2244
3,72.409943,0.9612903225806452,1.0,0.95,0.8536585365853658,0.9210526315789473,0.05,35,114,6,0,0.9969047619047618,efficientnet_b0,Image Only,15.5978,6.3715,2417.6553
4,28.054231,0.9935483870967742,1.0,0.9916666666666667,0.9722222222222222,0.9859154929577465,0.008333333333333333,35,119,1,0,0.9961904761904762,resnet18,Image Only,10.5304,63.0992,1632.2149
